Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
2008,22,TBR,AL,0,0,,1.93,5,1,0,0,0,0,14.0,9,4,3,1,4,0,12,1,0,0,57,234,3.42,0.929,5.8,0.6,2.6,7.7,3.00,,-9999
2009,23,TBR,AL,10,7,.588,4.42,23,23,0,0,0,0,128.1,119,72,63,17,54,0,102,4,0,2,557,98,4.59,1.348,8.3,1.2,3.8,7.2,1.89,,-9999
2010,24,TBR,AL,19,6,.760,2.72,32,31,0,2,1,0,208.2,170,71,63,15,79,1,188,5,3,5,861,144,3.42,1.193,7.3,0.6,3.4,8.1,2.38,ASCYA-2,-9999
2011,25,TBR,AL,12,13,.480,3.49,34,34,0,0,0,0,224.1,192,93,87,22,63,5,218,9,0,2,918,108,3.32,1.137,7.7,0.9,2.5,8.7,3.46,AS,-9999
2012,26,TBR,AL,20,5,.800,2.56,31,31,0,2,1,0,211.0,173,63,60,16,59,2,205,5,1,8,836,150,3.05,1.100,7.4,0.7,2.5,8.7,3.47,ASCYA-1MVP-12,-9999
2013,27,TBR,AL,10,8,.556,3.33,27,27,0,4,0,0,186.2,178,78,69,16,27,0,151,3,0,6,740,115,3.03,1.098,8.6,0.8,1.3,7.3,5.59,,-9999
2014,28,TOT,AL,15,12,.556,3.26,34,34,0,3,0,0,248.1,230,100,90,25,38,1,271,5,0,2,1009,115,2.78,1.079,8.3,0.9,1.4,9.8,7.13,ASCYA-6,-9999
2014,28,TBR,AL,11,8,.579,3.11,23,23,0,2,0,0,170.2,156,68,59,20,23,1,189,5,0,2,689,119,2.93,1.049,8.2,1.1,1.2,10.0,8.22,,-9999
2014,28,DET,AL,4,4,.500,3.59,11,11,0,1,0,0,77.2,74,32,31,5,15,0,82,0,0,0,320,108,2.44,1.146,8.6,0.6,1.7,9.5,5.47,,-9999
2015,29,TOT,AL,18,5,.783,2.45,32,32,0,3,1,0,220.1,190,70,60,17,47,2,225,3,0,4,888,164,2.78,1.076,7.8,0.7,1.9,9.2,4.79,ASCYA-2MVP-9,-9999
2015,29,DET,AL,9,4,.692,2.53,21,21,0,3,1,0,146.0,133,50,41,13,29,2,138,3,0,3,592,158,3.06,1.110,8.2,0.8,1.8,8.5,4.76,,-9999
2015,29,TOR,AL,9,1,.900,2.30,11,11,0,0,0,0,74.1,57,20,19,4,18,0,87,0,0,1,296,179,2.22,1.009,6.9,0.5,2.2,10.5,4.83,,-9999
2016,30,BOS,AL,17,9,.654,3.99,35,35,0,2,0,0,230.0,227,106,102,30,50,1,228,7,0,4,951,112,3.60,1.204,8.9,1.2,2.0,8.9,4.56,,-9999
2017,31,BOS,AL,6,3,.667,3.38,16,11,1,0,0,0,74.2,65,30,28,8,24,0,76,4,0,2,317,135,3.64,1.192,7.8,1.0,2.9,9.2,3.17,,-9999
2018,32,BOS,AL,16,7,.696,3.58,30,30,0,1,0,0,176.0,151,75,70,25,50,0,177,10,0,1,722,123,4.02,1.142,7.7,1.3,2.6,9.1,3.54,,-9999
2019,33,BOS,AL,7,5,.583,4.28,22,22,0,0,0,0,107.1,109,57,51,15,32,0,128,3,1,3,458,114,3.62,1.314,9.1,1.3,2.7,10.7,4.00,,-9999
2021,35,LAD,NL,5,2,.714,4.03,39,11,5,0,0,1,73.2,79,35,33,8,26,2,58,4,0,1,326,105,4.23,1.425,9.7,1.0,3.2,7.1,2.23,,-9999
2022,36,LAD,NL,2,0,1.000,2.45,40,0,13,0,0,2,40.1,38,11,11,6,9,2,37,0,0,0,167,165,3.88,1.165,8.5,1.3,2.0,8.3,4.11,,-9999
14 Yrs,14 Yrs,14 Yrs,14 Yrs,157,82,.657,3.32,400,322,19,17,3,3,2143.2,1930,865,790,221,562,16,2076,63,5,40,8807,123,3.39,1.162,8.1,0.9,2.4,8.7,3.69,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,15,8,.657,3.32,38,30,2,2,0,0,202,182,81,74,21,53,2,196,6,0,4,829,123,3.39,1.162,8.1,0.9,2.4,8.7,3.69,,pitch_glossary.shtml#162_avg