Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2009,23,PIT,NL,17,40,36,5,7,1,0,0,0,1,0,4,11,.194,.275,.222,.497,35,8,1,0,0,0,0,/5H,,-9999
2010,24,PIT,NL,110,469,426,57,126,29,3,12,66,2,3,34,83,.296,.349,.462,.811,119,197,4,3,2,4,1,4/5H,RoY-5,-9999
2011,25,PIT,NL,159,662,596,76,163,36,4,12,83,9,6,54,112,.273,.334,.408,.742,108,243,15,4,0,8,5,*4/H,,-9999
2012,26,PIT,NL,129,530,472,62,132,27,0,14,69,7,5,47,104,.280,.342,.426,.768,112,201,11,2,1,8,1,*4/HD,,-9999
2013,27,PIT,NL,133,551,478,62,120,24,4,16,53,1,2,50,85,.251,.339,.418,.757,114,200,14,15,5,3,4,*4/H,,-9999
2014,28,PIT,NL,137,571,512,74,139,25,3,23,76,2,2,45,88,.271,.342,.467,.809,126,239,12,11,1,2,2,*4/H,SS,-9999
2015,29,PIT,NL,151,603,543,69,146,32,3,16,71,4,1,44,110,.269,.328,.427,.756,106,232,9,8,0,8,5,*4H,,-9999
2016,30,NYM,NL,113,458,412,57,116,9,1,23,55,3,1,42,84,.282,.347,.476,.823,121,196,11,1,0,3,3,*4/H,,-9999
2017,31,TOT,NL,111,448,385,59,102,21,2,14,49,0,2,55,77,.265,.362,.439,.801,112,169,9,5,1,2,2,43/H5,,-9999
2017,31,NYM,NL,73,299,265,40,70,13,2,10,36,0,1,27,47,.264,.339,.442,.780,108,117,4,4,1,2,1,4/3H5,,-9999
2017,31,MIL,NL,38,149,120,19,32,8,0,4,13,0,1,28,30,.267,.409,.433,.843,121,52,5,1,0,0,1,43/H5,,-9999
2018,32,NYY,AL,113,398,347,48,76,12,1,11,46,0,0,42,87,.219,.309,.354,.664,82,123,3,5,0,4,3,3459H/D7,,-9999
2019,33,MIA,NL,115,381,337,37,88,19,1,8,38,3,0,42,77,.261,.344,.395,.738,96,133,8,1,0,1,1,3H5/D4,,-9999
2020,34,PHI,NL,18,41,39,5,9,3,0,0,3,0,0,1,13,.231,.244,.308,.552,48,12,0,0,0,1,0,/4HD3571,,-9999
12 Yrs,12 Yrs,12 Yrs,12 Yrs,1306,5152,4583,611,1224,238,22,149,609,32,22,460,931,.267,.338,.426,.764,109,1953,97,55,10,44,27,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,639,568,76,152,30,3,18,76,4,3,57,115,.267,.338,.426,.764,109,242,12,7,1,5,3,,,bat_glossary.shtml#162_avg